Sampling Technique,Model,Accuracy
oversampling,Logistic Regression,0.925764192139738
oversampling,Decision Tree,0.9672489082969432
oversampling,Random Forest,0.9890829694323144
oversampling,SVM,0.7074235807860262
oversampling,Gradient Boosting,0.982532751091703
undersampling,Logistic Regression,0.3333333333333333
undersampling,Decision Tree,0.16666666666666666
undersampling,Random Forest,0.16666666666666666
undersampling,SVM,0.16666666666666666
undersampling,Gradient Boosting,0.16666666666666666
smote_tomek,Logistic Regression,0.8896396396396397
smote_tomek,Decision Tree,0.9752252252252253
smote_tomek,Random Forest,0.9977477477477478
smote_tomek,SVM,0.6509009009009009
smote_tomek,Gradient Boosting,0.9864864864864865
tomek_links,Logistic Regression,0.9869565217391304
tomek_links,Decision Tree,0.9869565217391304
tomek_links,Random Forest,0.9869565217391304
tomek_links,SVM,0.9869565217391304
tomek_links,Gradient Boosting,0.9869565217391304
enn,Logistic Regression,0.9867256637168141
enn,Decision Tree,0.9867256637168141
enn,Random Forest,0.9867256637168141
enn,SVM,0.9867256637168141
enn,Gradient Boosting,0.9867256637168141
